Accident Prone Zone,Latitude,Longitude
BHALSWA CHOWK,,
MUKARBA CHOWK,28.7322234,77.1519452
PUNJABI BAGH CHOWK,28.6737138,77.1400677
ZAKHIRA FLYOVER,28.6676254,77.1674413
LIBASPUR BUS STAND,,
MUKUNDPUR CHOWK,28.7336566,77.1834315
MOTI BAGH FLYOVER,28.5781129,77.1763834
NANGLI POONA,28.7731719,77.1433187
SIRASPUR,28.7580543,77.1297995
SHASTRI PARK/IT PARK,,
MAJNU KA TILA,28.6986766,77.2260118
METRO STATION HAIDER PUR,,
SWAROOP NAGAR,28.7596436,77.1516935
SEELAMPUR T POINT,,
RAMA ROAD CROSSING,,
METRO STATION MADIPUR,,
RML HOSPITAL,,
WAZIRABAD,28.7297608,77.2212803
MAYA PURI CHOWK,,
MANGOLPURI FLYOVER,28.6919663,77.0984241
KARKARI MORE,,
JHARERA VILLAGE,28.5797517,77.1448049
HAIDER PUR,,
BURARI CHOWK,,
GAGAN CINEMA,28.6957346,77.3153785
OKHLA MORE,,
TELCO GAJIPUR,,
KHAJOORI KHAS PUSTA ROAD,,
NEAR HALDI RAM WAZIRPUR,,
C-1 JANAKPURI,28.6171189,77.0787538
RAJDHANI PARK,28.6823085,77.0439437
ROUND ABOUT SEEMAPURI,,
GTK DEPOT JAHANGIRPURI,,
GANDHI VIHAR BUS STAND,,
MOOL CHAND,,
POWER HOUSE MAHAVIR ENCLAVE,,
UNDER PASS GAJIPUR,,
PEERAGARHI CHOWK,28.6795418,77.0946343
AKSHARDHAM MANDIR,,
DHAULA KUAN,28.5918719,77.1617158
RAJOURI GARDEN,28.6511896,77.1242597
LONI ROAD CROSSING,,
RAILWAY UNDER PULPRAHLADPUR,,
VIJAY GHAT,28.6559318,77.2471046
TOLL PLAZA BADARPUR,,
ANAND VIHAR ISBT,28.6467533,77.3180037
NARAINA,28.6264562,77.1349668
VIP COLLEGE PITAMPURA,,
RAJA HARISHCHANDER HOSPITAL,,
MUNDKA METRO STATION,,
NIGAM BODH GHAT,,
FLYOVER RAJA RAM MARG,28.6511553,77.2500716
SUBHASH NAGAR METRO STATION,,
LAJPAT RAI MARKET(LAL QILA),,
SHAHDARA FLYOVER,28.6759757,77.29604
MODI MILL FLYOVER,28.5561589,77.2679652
PREM BARI PULL,,
JAHANGIR PURI BUS STAND OUTER RING ROAD,,
CHIRAG DELHI FLYOVER,28.5406968,77.2351853
SHASTRI PARK METRO STATION,28.6683942,77.2503094
KHAMPUR VILLAGE,,
AZADPUR SABZI MANDI,,
KESHOPUR T POINT,,
TUGLAQABAD METRO STATION,,
NEAR MANISH FURNITURE MKT NANGLOI ROAD,,
JASOLA VIHAR,28.5427353,77.2913342
ESI HOSPITAL RING ROAD,28.6591092,77.1287595
KHICHADI PUR,,
METRO STATION SADAR BAZAR,28.6498297,77.2268231
SANTOM HOSPITAL OUTER RING ROAD,,
POWER HOUSE PITAMPURA,28.7079305,77.1352276
PANCHSHEEL FLYOVER,,
NIZAMUDIN YAMUNA BRIDGE,,
DILSHAD GARDEN,28.6758864,77.321446
GOKALPURI,28.6953512,77.2913475
HYAAT HOTEL,,
HANUMAN MANDIR YAMUNA BAZAR,,
TEES HAZARI RED LIGHT,,
MURGA MANDI FLYOVER,,
SARITA VIHAR FLYOVER,28.5365216,77.2845972
DURGAPURI CHOWK,,
MAHIPALPUR FLYOVER,28.5397832,77.1167928
DTC BUS DEPOT NAND NAGRI,,
HARNAM PALACE ASHOK NAGAR,,
"SEC-1,2 RED LIGHT DWARKA",,
NIRANKARI COLONY,28.7165712,77.2064187
KHAJOORI CHOWK,,
